date,action,rule,trade_pct,btc_price,usdt_before,usdt_delta,usdt_after,btc_before,btc_delta,btc_fee,btc_after,nav,peak_nav,drawdown_pct,bear_pause,contrib_gross,contrib_net,platform_fee_paid,perf_fee_paid,platform_fees_cum,cum_gross_contrib,cagr_pct,total_roi_pct
2018/12/08,BUY,Base1,50,3522.5,4.6827,-2.3414,2.3414,51.84601174,0.00066415,0.00000053,51.8466759,182632.26,430529.94,57.5797,0,0,0,0,0,205.8787,27500,96.8556,564.1173
2018/12/09,BUY,Base1,50,3635.35,2.3414,-1.1707,1.1707,51.8466759,0.00032177,0.00000026,51.84699766,188483.15,430529.94,56.2207,0,0,0,0,0,205.8787,27500,98.9548,585.3933
2018/12/10,BUY,Base1,50,3524.52,1.1707,-0.5853,0.5853,51.84699766,0.00016594,0.00000013,51.84716361,182736.95,430529.94,57.5553,0,0,0,0,0,205.8787,27500,96.6354,564.498
2018/12/11,BUY,Base1,50,3440.73,0.5853,-0.2927,0.2927,51.84716361,0.00008499,0.00000007,51.8472486,178392.68,430529.94,58.5644,0,0,0,0,0,205.8787,27500,94.8263,548.7006
2018/12/12,BUY,Base1,50,3532.64,0.2927,-0.1463,0.1463,51.8472486,0.00004139,0.00000003,51.84728999,183157.96,430529.94,57.4576,0,0,0,0,0,205.8787,27500,96.5372,566.0289
2018/12/13,BUY,Base1,50,3374.6,0.1463,-0.0732,0.0732,51.84728999,0.00002166,0.00000002,51.84731165,174964.01,430529.94,59.3608,0,0,0,0,0,205.8787,27500,93.2336,536.2328
2018/12/14,BUY,Base1,50,3281.06,0.0732,-0.0366,0.0366,51.84731165,0.00001114,0.00000001,51.8473228,170114.21,430529.94,60.4873,0,0,0,0,0,205.8787,27500,91.1887,518.5971
2018/12/15,BUY,Base1,50,3290.85,0.0366,-0.0183,0.0183,51.8473228,0.00000555,0,51.84732835,170621.8,430529.94,60.3694,0,0,0,0,0,205.8787,27500,91.2706,520.4429
2018/12/16,BUY,Base1,50,3303.16,0.0183,-0.0091,0.0091,51.84732835,0.00000277,0,51.84733112,171260.04,430529.94,60.2211,0,0,0,0,0,205.8787,27500,91.4036,522.7638
2018/12/17,BUY,Base1,50,3579.86,0.0091,-0.0046,0.0046,51.84733112,0.00000128,0,51.84733239,185606.2,430529.94,56.8889,0,0,0,0,0,205.8787,27500,96.8182,574.9316
2018/12/18,BUY,Base1,50,3771.17,0.0046,-0.0023,0.0023,51.84733239,0.00000061,0,51.847333,195525.11,430529.94,54.585,0,0,0,0,0,205.8787,27500,100.3503,611.0004
2018/12/19,BUY,Base1,50,3761.7,0.0023,-0.0011,0.0011,51.847333,0.0000003,0,51.8473333,195034.11,430529.94,54.6991,0,0,0,0,0,205.8787,27500,100.0373,609.215
2018/12/20,BUY,Base2,45,4156.44,0.0011,-0.0005,0.0006,51.8473333,0.00000012,0,51.84733343,215500.33,430529.94,49.9453,0,0,0,0,0,205.8787,27500,107.0823,683.6376
2018/12/21,BUY,Base1,50,3913.39,0.0006,-0.0003,0.0003,51.84733343,0.00000008,0,51.84733351,202898.84,430529.94,52.8723,0,0,0,0,0,205.8787,27500,102.5785,637.814
2018/12/22,BUY,Base1,50,4058.54,0.0003,-0.0002,0.0002,51.84733351,0.00000004,0,51.84733354,210424.48,430529.94,51.1243,0,0,0,0,0,205.8787,27500,105.059,665.1799
2018/12/23,BUY,Base1,50,4032.16,0.0002,-0.0001,0.0001,51.84733354,0.00000002,0,51.84733356,209056.74,430529.94,51.442,0,0,0,0,0,205.8787,27500,104.4464,660.2063
2018/12/24,BUY,Base1,50,4112.57,0.0001,0,0,51.84733356,0.00000001,0,51.84733357,213225.79,430529.94,50.4736,0,0,0,0,0,205.8787,27500,105.7313,675.3665
2018/12/25,BUY,Base1,50,3871.7,0,0,0,51.84733357,0.00000001,0,51.84733358,200737.32,430529.94,53.3744,0,0,0,0,0,205.8787,27500,101.2682,629.9539
2018/12/26,BUY,Base1,50,3914.61,0,0,0,51.84733358,0,0,51.84733358,202962.09,430529.94,52.8576,0,0,0,0,0,205.8787,27500,101.9136,638.044
2018/12/27,BUY,Base1,50,3705.72,0,0,0,51.84733358,0,0,51.84733358,192131.7,430529.94,55.3732,0,0,0,0,0,205.8787,27500,97.9283,598.6607
2018/12/28,BUY,Base1,50,3975.66,0,0,0,51.84733358,0,0,51.84733358,206127.37,430529.94,52.1224,0,0,0,0,0,205.8787,27500,102.739,649.5541
2018/12/29,BUY,Base1,50,3806.72,0,0,0,51.84733358,0,0,51.84733358,197368.28,430529.94,54.1569,0,0,0,0,0,205.8787,27500,99.5411,617.7028
2018/12/30,BUY,Base1,50,3920.35,0,0,0,51.84733358,0,0,51.84733358,203259.69,430529.94,52.7885,0,0,0,0,0,205.8787,27500,101.4736,639.1262
2018/12/31,BUY,Base1,50,3808.51,0,0,0,51.84733358,0,0,51.84733358,197461.09,430529.94,54.1353,0,0,0,0,0,205.8787,27500,99.31,618.0403
2019/01/01,BUY,Base1,50,3921.9,495.3568,-247.6784,247.6784,51.84733358,0.06310213,0.00005052,51.91043571,203835.22,430529.94,52.6548,0,500,495.3568,3.7433,0,209.622,28000,100.1382,627.9829
2019/01/02,BUY,Base1,50,3980.72,247.6784,-123.8392,123.8392,51.91043571,0.03108486,0.00002489,51.94152057,206888.49,430529.94,51.9456,0,0,0,0,0,209.622,28000,101.0465,638.8875
2019/01/03,BUY,Base1,50,3859.53,123.8392,-61.9196,61.9196,51.94152057,0.01603046,0.00001283,51.95755103,200593.65,430529.94,53.4077,0,0,0,0,0,209.622,28000,98.7584,616.4059
2019/01/04,BUY,Base1,50,3901.67,61.9196,-30.9598,30.9598,51.95755103,0.00792866,0.00000635,51.9654797,202783.11,430529.94,52.8992,0,0,0,0,0,209.622,28000,99.3811,624.2254
2019/01/05,BUY,Base1,50,3872.16,30.9598,-15.4799,15.4799,51.9654797,0.00399454,0.0000032,51.96947424,201249.6,430529.94,53.2554,0,0,0,0,0,209.622,28000,98.7241,618.7486
2019/01/06,BUY,Base1,50,4103.79,15.4799,-7.7399,7.7399,51.96947424,0.00188454,0.00000151,51.97135878,213287.28,430529.94,50.4594,0,0,0,0,0,209.622,28000,102.6482,661.7403
2019/01/07,BUY,Base1,50,4079.5,7.7399,-3.87,3.87,51.97135878,0.00094788,0.00000076,51.97230666,212024.9,430529.94,50.7526,0,0,0,0,0,209.622,28000,102.0947,657.2318
2019/01/08,BUY,Base1,50,4050.6,3.87,-1.935,1.935,51.97230666,0.00047732,0.00000038,51.97278398,210522.89,430529.94,51.1015,0,0,0,0,0,209.622,28000,101.4617,651.8675
2019/01/09,BUY,Base1,50,4068.13,1.935,-0.9675,0.9675,51.97278398,0.00023763,0.00000019,51.97302162,211433.98,430529.94,50.8898,0,0,0,0,0,209.622,28000,101.6296,655.1213
2019/01/10,BUY,Base1,50,3698.76,0.9675,-0.4837,0.4837,51.97302162,0.00013068,0.0000001,51.9731523,192236.7,430529.94,55.3488,0,0,0,0,0,209.622,28000,94.9575,586.5596
2019/01/11,BUY,Base1,50,3717.1,0.4837,-0.2419,0.2419,51.9731523,0.00006502,0.00000005,51.97321732,193189.89,430529.94,55.1274,0,0,0,0,0,209.622,28000,95.1681,589.9639
2019/01/12,BUY,Base1,50,3709.98,0.2419,-0.1209,0.1209,51.97321732,0.00003257,0.00000003,51.97324989,192819.84,430529.94,55.2134,0,0,0,0,0,209.622,28000,94.9153,588.6423
2019/01/13,BUY,Base1,50,3587.73,0.1209,-0.0605,0.0605,51.97324989,0.00001684,0.00000001,51.97326673,186466.11,430529.94,56.6892,0,0,0,0,0,209.622,28000,92.5498,565.9504
2019/01/14,BUY,Base1,50,3743.29,0.0605,-0.0302,0.0302,51.97326673,0.00000807,0.00000001,51.9732748,194551.07,430529.94,54.8113,0,0,0,0,0,209.622,28000,95.2711,594.8253
2019/01/15,BUY,Base1,50,3587.75,0.0302,-0.0151,0.0151,51.9732748,0.00000421,0,51.97327901,186467.15,430529.94,56.6889,0,0,0,0,0,209.622,28000,92.3121,565.9541
2019/01/16,BUY,Base1,50,3674.97,0.0151,-0.0076,0.0076,51.97327901,0.00000206,0,51.97328106,191000.26,430529.94,55.636,0,0,0,0,0,209.622,28000,93.7908,582.1438
2019/01/17,BUY,Base1,50,3713.93,0.0076,-0.0038,0.0038,51.97328106,0.00000102,0,51.97328208,193025.14,430529.94,55.1657,0,0,0,0,0,209.622,28000,94.3744,589.3755
2019/01/18,BUY,Base1,50,3692.21,0.0038,-0.0019,0.0019,51.97328208,0.00000051,0,51.97328259,191896.28,430529.94,55.4279,0,0,0,0,0,209.622,28000,93.8613,585.3438
2019/01/19,BUY,Base1,50,3772.88,0.0019,-0.0009,0.0009,51.97328259,0.00000025,0,51.97328284,196088.96,430529.94,54.454,0,0,0,0,0,209.622,28000,95.1848,600.3177
2019/01/20,BUY,Base1,50,3608.52,0.0009,-0.0005,0.0005,51.97328284,0.00000013,0,51.97328297,187546.63,430529.94,56.4382,0,0,0,0,0,209.622,28000,92.1023,569.8094
2019/01/21,BUY,Base1,50,3619.41,0.0005,-0.0002,0.0002,51.97328297,0.00000007,0,51.97328304,188112.62,430529.94,56.3067,0,0,0,0,0,209.622,28000,92.1831,571.8308
2019/01/22,BUY,Base1,50,3653.5,0.0002,-0.0001,0.0001,51.97328304,0.00000003,0,51.97328307,189884.39,430529.94,55.8952,0,0,0,0,0,209.622,28000,92.6833,578.1585
2019/01/23,BUY,Base1,50,3639.58,0.0001,-0.0001,0.0001,51.97328307,0.00000002,0,51.97328309,189160.92,430529.94,56.0632,0,0,0,0,0,209.622,28000,92.3134,575.5747
2019/01/24,BUY,Base1,50,3658.37,0.0001,0,0,51.97328309,0.00000001,0,51.9732831,190137.5,430529.94,55.8364,0,0,0,0,0,209.622,28000,92.5345,579.0625
