date,action,rule,trade_pct,btc_price,usdt_before,usdt_delta,usdt_after,btc_before,btc_delta,btc_fee,btc_after,nav,peak_nav,drawdown_pct,bear_pause,contrib_gross,contrib_net,perf_fee_paid,cum_gross_contrib,cagr_pct,,,
2023/01/26,BUY,Base3,22,23019.91,0.0041,-0.0009,0.0032,3.66465869,0.00000004,0,3.66465873,84360.12,164199.24,48.6233,0,0,0,0,28500,42.416,,,
2023/01/27,BUY,Base3,22,23079.96,0.0032,-0.0007,0.0025,3.66465873,0.00000003,0,3.66465876,84580.18,164199.24,48.4893,0,0,0,0,28500,42.492,,,
2023/01/28,BUY,Base3,22,23036.02,0.0025,-0.0006,0.002,3.66465876,0.00000002,0,3.66465879,84419.16,164199.24,48.5874,0,0,0,0,28500,42.3588,,,
2023/01/29,BUY,Base3,22,23755.85,0.002,-0.0004,0.0015,3.66465879,0.00000002,0,3.66465881,87057.09,164199.24,46.9808,0,0,0,0,28500,43.7442,,,
2023/01/30,BUY,Base3,22,22836.8,0.0015,-0.0003,0.0012,3.66465881,0.00000001,0,3.66465882,83689.08,164199.24,49.032,0,0,0,0,28500,41.8688,,,
2023/01/31,BUY,Base3,22,23132.64,0.0012,-0.0003,0.0009,3.66465882,0.00000001,0,3.66465883,84773.23,164199.24,48.3717,0,0,0,0,28500,42.4181,,,
2023/02/01,BUY,Base3,22,23730.89,495.3577,-108.9787,386.379,3.66465883,0.0045886,0.00000367,3.66924743,87460.89,164199.24,46.7349,0,500,495.3568,0,29000,43.0125,,,
2023/02/02,BUY,Base3,22,23472.94,386.379,-85.0034,301.3756,3.66924743,0.00361844,0.0000029,3.67286587,86514.34,164199.24,47.3114,0,0,0,0,29000,42.4643,,,
2023/02/03,BUY,Base3,22,23427.3,301.3756,-66.3026,235.073,3.67286587,0.00282788,0.00000226,3.67569375,86346.65,164199.24,47.4135,0,0,0,0,29000,42.3303,,,
2023/02/04,BUY,Base3,22,23323.87,235.073,-51.7161,183.3569,3.67569375,0.00221553,0.00000177,3.67790928,85966.43,164199.24,47.645,0,0,0,0,29000,42.0831,,,
2023/02/05,BUY,Base3,22,22939.89,183.3569,-40.3385,143.0184,3.67790928,0.00175704,0.00000141,3.67966631,84554.16,164199.24,48.5051,0,0,0,0,29000,41.2811,,,
2023/02/06,BUY,Base3,22,22762.16,143.0184,-31.464,111.5544,3.67966631,0.00138119,0.00000111,3.6810475,83900.15,164199.24,48.9034,0,0,0,0,29000,40.8846,,,
2023/02/07,BUY,Base3,22,23250.84,111.5544,-24.542,87.0124,3.6810475,0.00105469,0.00000084,3.68210219,85698.98,164199.24,47.8079,0,0,0,0,29000,41.8085,,,
2023/02/08,BUY,Base3,22,22965.04,87.0124,-19.1427,67.8697,3.68210219,0.00083289,0.00000067,3.68293508,84646.62,164199.24,48.4488,0,0,0,0,29000,41.2017,,,
2023/02/09,BUY,Base2,27,21799.44,67.8697,-18.3248,49.5449,3.68293508,0.00083994,0.00000067,3.68377502,80353.78,164199.24,51.0632,0,0,0,0,29000,38.8143,,,
2023/02/10,BUY,Base2,27,21632.22,49.5449,-13.3771,36.1677,3.68377502,0.00061789,0.00000049,3.68439291,79737.77,164199.24,51.4384,0,0,0,0,29000,38.4312,,,
2023/02/11,BUY,Base2,27,21862.63,36.1677,-9.7653,26.4025,3.68439291,0.00044631,0.00000036,3.68483922,80586.68,164199.24,50.9214,0,0,0,0,29000,38.8632,,,
